DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2018,101.472,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2019,105.127,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2020,100.000,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2021,103.611,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2022,114.613,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Austria,2023,120.773,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,1995,44.248,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,1996,45.575,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,1997,47.929,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,1998,49.884,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,1999,50.948,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2000,55.876,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2001,53.289,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2002,60.044,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2003,58.677,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2004,63.647,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2005,62.414,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2006,69.725,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2007,71.101,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2008,73.287,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2009,79.397,b
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2010,90.741,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2011,94.621,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2012,97.745,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2013,91.006,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2014,98.405,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2015,112.483,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2016,105.263,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2017,111.696,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2018,100.812,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2019,104.668,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2020,100.000,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2021,97.909,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2022,100.067,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Belgium,2023,104.278,p
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,1995,89.786,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,1996,82.614,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,1997,121.552,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,1998,95.121,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,1999,96.075,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2000,87.431,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2001,89.357,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2002,94.419,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2003,93.636,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2004,97.824,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2005,90.876,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2006,91.282,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2007,67.382,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2008,87.273,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2009,79.511,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2010,73.494,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2011,80.050,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2012,75.691,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2013,77.547,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2014,81.719,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2015,77.328,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2016,86.301,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2017,87.980,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2018,92.000,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2019,104.612,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2020,100.000,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2021,139.236,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2022,131.843,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Bulgaria,2023,112.678,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,1995,81.728,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,1996,76.594,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,1997,76.776,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,1998,77.084,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,1999,77.515,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2000,83.090,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2001,81.787,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2002,83.554,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2003,72.362,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2004,89.440,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2005,86.467,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2006,82.331,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2007,84.399,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2008,83.338,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2009,91.366,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2010,84.551,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2011,90.277,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2012,86.098,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2013,79.371,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2014,85.162,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2015,79.003,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2016,80.431,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2017,82.547,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2018,91.241,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2019,100.789,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2020,100.000,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2021,101.428,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2022,118.759,p
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Switzerland,2023,109.463,p
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,1995,103.626,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,1996,112.192,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,1997,103.418,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,1998,118.873,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,1999,126.901,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2000,123.394,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2001,136.028,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2002,128.874,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2003,126.715,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2004,126.028,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2005,125.632,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2006,127.436,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2007,109.445,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2008,101.986,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2009,90.806,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2010,99.408,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2011,104.586,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2012,106.878,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2013,105.877,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2014,95.631,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2015,96.264,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2016,108.363,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2017,102.286,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2018,101.574,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2019,104.253,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2020,100.000,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2021,94.517,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2022,77.332,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Cyprus,2023,77.643,p
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,1995,47.098,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,1996,46.085,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,1997,45.186,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,1998,46.493,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,1999,51.262,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,2000,53.252,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,2001,53.407,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,2002,60.387,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,2003,63.761,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,2004,70.041,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,2005,80.270,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,2006,76.676,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,2007,60.851,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,2008,61.688,
ESTAT:NAMA_10_LP_A21(1.0),20/01/25 23:00:00,Annual,"Index, 2020=100","Agriculture, forestry and fishing",Real labour productivity per person,Czechia,2009,80.227,
