DATAFLOW,LAST UPDATE,freq,currency,unit,sizeclas,nace_r2,lcstruct,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Spain,2020,820442719,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 15 countries (1995-2004),2008,10982373574,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 15 countries (1995-2004),2012,11107318430,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 15 countries (1995-2004),2016,10418750523,d
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 15 countries (1995-2004),2020,7053548538,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 25 countries (2004-2006),2008,16771425247,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 25 countries (2004-2006),2012,18441482589,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 25 countries (2004-2006),2016,15937963630,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 25 countries (2004-2006),2020,,u
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 27 countries (2007-2013),2008,18697036034,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 27 countries (2007-2013),2012,20293311770,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 27 countries (from 2020),2008,16018607120,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 27 countries (from 2020),2012,17400151453,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 27 countries (from 2020),2016,14547372681,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 27 countries (from 2020),2020,14990864879,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 28 countries (2013-2020),2008,18887934045,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 28 countries (2013-2020),2012,20493233072,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),European Union - 28 countries (2013-2020),2016,17653873942,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Finland,2008,98756293,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Finland,2012,150584613,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Finland,2016,171631966,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Finland,2020,176162453,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),France,2008,818185295,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),France,2012,639618037,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),France,2016,631942960,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),France,2020,661490762,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Croatia,2008,190898011,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Croatia,2012,111361771,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Croatia,2016,101787422,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Croatia,2020,108772619,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Hungary,2008,78298163,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Hungary,2012,71715368,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Hungary,2016,63691506,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Hungary,2020,90589815,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Ireland,2008,282323629,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Ireland,2012,348969234,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Ireland,2016,203419385,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Ireland,2020,160187461,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Italy,2008,1197171760,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Italy,2012,1293512758,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Italy,2016,1405001788,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Italy,2020,1280629916,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Lithuania,2008,165691215,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Lithuania,2012,120561099,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Lithuania,2016,42396451,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Lithuania,2020,63732083,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Luxembourg,2008,,c
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Luxembourg,2012,9573121,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Luxembourg,2016,8849925,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Luxembourg,2020,10317476,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Latvia,2008,20807810,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Latvia,2012,23712063,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Latvia,2016,41891959,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Latvia,2020,49885836,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Montenegro,2012,36803736,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Montenegro,2016,33494914,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),North Macedonia,2012,64649734,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),North Macedonia,2016,60923038,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Malta,2008,,c
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Malta,2012,,c
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Malta,2016,1105086,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Malta,2020,2079488,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Netherlands,2008,486233079,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Netherlands,2012,597445529,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Netherlands,2016,800509675,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Netherlands,2020,573540933,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Norway,2008,3232478143,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Norway,2012,6901182255,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Norway,2016,4113417563,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Norway,2020,4854502385,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Poland,2008,4365627764,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Poland,2012,6038535562,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Poland,2016,4287893688,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Poland,2020,5124806320,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Portugal,2008,196060675,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Portugal,2012,153866640,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Portugal,2016,156567806,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Portugal,2020,174605649,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Romania,2008,1545823457,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Romania,2012,1522923186,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Romania,2016,1160898025,
ESTAT:LC_NCOSTOT_R2(1.0),08/11/23 23:00:00,Annual,Purchasing Power Standard,Total,10 employees or more,Mining and quarrying,Wages and salaries (total),Romania,2020,1291707080,
