DATAFLOW,LAST UPDATE,freq,nace_r2,sizeclas,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2010,0.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2011,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2012,1.0,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2013,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2014,1.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2015,2.2,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2016,2.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2017,3.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2018,5.6,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2019,6.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2020,5.5,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2021,5.1,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2022,4.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Czechia,2023,3.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2011,2.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2012,2.2,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2013,2.1,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2014,2.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2015,2.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2016,2.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2017,2.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2018,3.0,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2019,3.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2020,2.5,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2021,3.2,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2022,4.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Germany,2023,4.0,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2008,2.5,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2009,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2010,1.0,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2011,1.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2012,1.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2013,1.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2014,1.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2015,1.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2016,1.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2017,2.1,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2018,1.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2019,1.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2020,1.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2021,1.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2022,2.0,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Estonia,2023,1.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2009,1.6,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2010,1.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2011,2.1,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2012,2.2,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2013,1.3,b
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2014,1.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2015,1.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2016,1.6,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2017,1.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2018,2.2,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2019,2.2,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2020,1.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2021,2.5,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2022,2.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Finland,2023,2.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2012,1.0,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2013,0.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2014,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2015,1.1,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2016,1.6,b
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2017,1.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2018,1.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2019,1.5,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2020,1.1,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2021,1.6,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2022,1.6,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Croatia,2023,1.6,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2008,1.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2009,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2010,1.0,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2011,1.1,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2012,1.0,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2013,1.2,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2014,1.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2015,1.5,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2016,1.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2017,2.2,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2018,2.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2019,2.5,p
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2020,2.0,p
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2021,2.3,p
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2022,2.7,p
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Hungary,2023,2.4,p
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Iceland,2019,1.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Iceland,2020,1.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Iceland,2021,3.1,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Iceland,2022,3.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Iceland,2023,2.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2008,1.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2009,0.5,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2010,0.6,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2011,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2012,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2013,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2014,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2015,1.1,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2016,1.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2017,1.6,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2018,1.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2019,1.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2020,1.3,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2021,1.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2022,1.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Lithuania,2023,2.0,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2008,0.6,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2009,0.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2010,0.6,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2011,0.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2012,0.8,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2013,0.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2014,0.9,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2015,1.2,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2016,1.4,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2017,1.5,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2018,1.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2019,1.7,
ESTAT:JVS_A_RATE_R2(1.0),16/12/24 11:00:00,Annual,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),Total,Annual average,Luxembourg,2020,1.5,
