DATAFLOW,LAST UPDATE,freq,nace_r2,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2000,25.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2001,26.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2002,28.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2003,28.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2004,28.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2005,29.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2006,30.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2007,31.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2008,32.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2009,33.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2010,34.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2011,35.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2012,36.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2013,37.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2014,37.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2015,37.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2016,37.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2017,38.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2018,39.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2019,39.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2020,41.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Belgium,2021,42.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2000,1.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2001,1.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2002,1.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2003,1.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2004,1.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2005,1.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2006,2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2007,2.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2008,2.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2009,2.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2010,3.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2011,3.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2012,3.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2013,4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2014,4.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2015,4.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2016,4.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2017,5.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2018,5.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2019,6.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2020,6.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Bulgaria,2021,7.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2000,10.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2001,10.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2002,11,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2003,11.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2004,12.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2005,13.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2006,14.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2007,13.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2008,13.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2009,14.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2010,14.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2011,15.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2012,15.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2013,14.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2014,14.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2015,14,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2016,13.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2017,14,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2018,14.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2019,14.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2020,15.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2021,15.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Cyprus,2022,15.4,p
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,1995,2.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,1996,2.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,1997,2.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,1998,3.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,1999,3.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2000,3.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2001,4.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2002,5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2003,5.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2004,5.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2005,6.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2006,7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2007,7.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2008,8.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2009,8.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2010,8.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2011,9.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2012,9.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2013,9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2014,8.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2015,9.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2016,9.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2017,10.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2018,11.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2019,12.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2020,13.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2021,13.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Czechia,2022,14.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2000,22.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2001,23.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2002,23.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2003,24.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2004,24.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2005,24.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2006,24.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2007,24.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2008,25.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2009,26,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2010,26.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2011,26.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2012,28,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2013,28.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2014,29.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2015,30.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2016,30.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2017,31.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2018,32.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2019,34.1,p
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2020,35.6,p
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Germany,2021,35.8,p
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2000,24.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2001,25.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2002,26.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2003,27.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2004,28.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2005,29.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2006,30.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2007,31.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2008,33,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2009,34.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2010,35.2,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2011,35.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2012,36.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2013,36.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2014,37.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2015,38.5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2016,38.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2017,39.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2018,40.9,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2019,41.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2020,43.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2021,43.8,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Denmark,2022,45,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2000,2.7,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2001,3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2002,3.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2003,3.6,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2004,4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2005,4.4,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2006,5,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2007,6.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2008,7.1,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2009,7.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2010,7.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2011,7.3,
ESTAT:NAMA_10R_2LP10(1.0),19/02/24 23:00:00,Annual,Total - all NACE activities,Compensation of employees per hour worked,Euro,Estonia,2012,7.9,
